alpha,Cd,Cs,Cl,CmRoll,CmPitch,CmYaw,Cd(f),Cd(r),Cs(f),Cs(r),Cl(f),Cl(r),xcp,Ux_final,Uy_final,k_final,p_final,omega_final,Iter,yplus_max
-10.0,0.1379732306581158,-4.769293038033376e-22,-0.4080362479970993,0.4080362479970994,0.0674213058779759,0.1379732306581158,0.4770228633261574,-0.3390496326680416,0.1379732306581158,-0.1379732306581158,-0.1365968181205737,-0.2714394298765257,0.408341779352,5.629898146759419e-08,2.3479955223807529e-07,1.9403217405091397e-09,4.2012126713946733e-07,3.0565271050802526e-11,5001,0.3171120565212399
-5.0,0.0831565859247289,-3.4506651428544187e-22,-0.2982983818076282,0.2982983818076283,0.0698524144973151,0.0831565859247289,0.3398766747699928,-0.2567200888452638,0.0831565859247289,-0.0831565859247289,-0.079296776406499,-0.2190016054011292,0.479467565615,6.681265924211778e-09,6.824112316745822e-08,9.07801329941912e-10,7.831264129327252e-08,1.9700566366018297e-11,5001,0.2258601693200478
-2.0,0.0481794614771395,1.5365507374679786e-22,-0.0630089663085254,0.0630089663085253,0.0317972091202267,0.0481794614771394,0.0870986970470951,-0.0389192355699556,0.0481794614771394,-0.0481794614771394,0.000292725965964,-0.0633016922744894,0.741820799768,2.311762019113001e-09,4.696338117519645e-08,2.8637614936326057e-10,6.056724097542873e-08,1.5522199859597208e-11,878,0.2169026115670924
2.0,0.0288897496965628,1.0880107391031554e-21,0.4490877992844132,-0.4490877992844132,-0.0413604279523354,0.0288897496965628,-0.4346429244361317,0.4635326741326945,0.0288897496965628,-0.0288897496965628,0.1831834716898711,0.265904327594542,0.341948337808,2.117657497587708e-09,7.753155715967057e-08,3.0210120792553627e-10,6.679251839486227e-08,1.609675581286222e-11,800,0.277060422645656
6.0,0.0198501370880719,1.9350280897717718e-21,0.9614120728048908,-0.9614120728048908,-0.0570611140701816,0.0198501370880719,-0.9514870042608548,0.9713371413489268,0.0198501370880719,-0.0198501370880719,0.4236449223322637,0.537767150472627,0.309549058166,3.519525769834552e-09,3.4391962546375673e-08,3.300478073629709e-10,3.7108680433647764e-08,1.245010945811002e-11,501,0.3813972580396715
10.0,0.0273515350162076,2.0734959402010038e-21,1.3442148439004793,-1.3442148439004793,-0.0516973226651078,0.0273515350162076,-1.3305390763923757,1.3578906114085831,0.0273515350162076,-0.0273515350162076,0.6204100992851317,0.7238047446153475,0.288912803439,3.221260751720038e-09,2.945483194812926e-08,7.77194206777359e-10,2.084348245576022e-08,8.245500642480918e-12,425,0.4812231484943289
12.0,0.0434522339585151,2.056024175172632e-21,1.4587549101556536,-1.4587549101556536,-0.059176607133241,0.0434522339585151,-1.437028793176396,1.4804810271349111,0.0434522339585151,-0.0434522339585151,0.6702008479445858,0.7885540622110678,0.291211866472,3.3721854521710756e-09,3.3157838812488984e-08,6.518873731027197e-10,1.9485758393009082e-08,7.130702313630949e-12,420,0.5178533888492237
14.0,0.0913253658897295,1.8869959371724746e-21,1.2557641726168405,-1.2557641726168405,-0.0780730937229681,0.0913253658897294,-1.2101014896719755,1.3014268555617052,0.0913253658897294,-0.0913253658897294,0.5498089925854521,0.7059551800313884,0.31293394265,8.248953146040175e-09,3.386416210952997e-08,9.46772439949599e-10,5.6585189009480824e-08,8.658895039116955e-12,671,0.4739916302922226
16.0,0.2179206028627367,2.9103288159025704e-21,0.9388635909123528,-0.9388635909123532,-0.1483022504839243,0.2179206028627366,-0.8299032894809848,1.0478238923437215,0.2179206028627366,-0.2179206028627366,0.3211295449722522,0.6177340459401008,0.404070549171,4.8339186863188655e-09,1.594475322352788e-08,2.438030124479932e-10,7.893077615796353e-08,1.1119582686117668e-11,1292,0.3408194681907266
18.0,0.265891114411709,3.1606511282870666e-21,0.9507338507048656,-0.9507338507048656,-0.1580913184762559,0.265891114411709,-0.8177882934990112,1.0836794079107204,0.265891114411709,-0.265891114411709,0.3172756068761768,0.6334582438286888,0.410276447913,3.6748289473082404e-09,1.012045081019134e-08,2.5194506552909686e-10,7.809868578821344e-08,9.230462942366272e-12,1485,0.3563007693669526
20.0,0.2907027527034328,1.7654879742056448e-21,0.4344256238048398,-0.4344256238048398,-0.3380654456900153,0.2907027527034328,-0.2890742474531235,0.5797770001565562,0.2907027527034328,-0.2907027527034328,-0.1208526337875954,0.5552782575924353,0.915938371483,1.161290281542027e-07,2.297362359016889e-07,7.0995831925880955e-09,1.1891650361826214e-07,5.7999564554004196e-11,5001,1.6514561015606304
22.0,0.6284125647569089,5.6273381824460144e-21,1.9651516718455764,-1.9651516718455764,-0.0990059732444548,0.6284125647569089,-1.650945389467122,2.279357954224031,0.6284125647569089,-0.6284125647569089,0.8835698626783333,1.081581809167243,0.298120382363,3.596546988578013e-07,4.914318324571434e-07,1.562752889976981e-09,6.960922036235189e-07,6.292932927816833e-11,5001,0.3749426163063161
