alpha,Cd,Cs,Cl,Cm
-10.0,0.1759893858334057,2.9638190783935527e-21,-0.7493726713784946,0.2323775006207747
-9.5,0.1628973492460343,2.7877286866584318e-21,-0.6924217529040287,0.2150382675337481
-9.0,0.1504301874457461,2.6166544368792525e-21,-0.6371323632116463,0.1982607529225381
-8.5,0.1386276524536477,2.450570716745941e-21,-0.583498032661642,0.182046261914037
-8.0,0.1275294962908461,2.28945191394842e-21,-0.5315122916143107,0.1663960996351372
-7.5,0.1171754709784478,2.133272416176612e-21,-0.4811686704299467,0.1513115712127311
-7.0,0.10760532853756,1.9820066111204418e-21,-0.4324606994688453,0.1367939817737111
-6.5,0.0988588209892892,1.835628886469833e-21,-0.3853819090913009,0.1228446364449695
-6.0,0.0909757003547424,1.694113629914708e-21,-0.3399258296576083,0.1094648403533986
-5.5,0.0839957186550263,1.557435229144991e-21,-0.2960859915280623,0.096655898625891
-5.0,0.0779586279112478,1.4255680718506053e-21,-0.2538559250629577,0.0844191163893389
-4.5,0.0727676807943206,1.304392579507697e-21,-0.2159550434674728,0.0730550516548853
-4.0,0.0682091846241277,1.1952100521496464e-21,-0.1829588587323138,0.0626174354043963
-3.5,0.0641474733952293,1.0911261953022305e-21,-0.1516450493960662,0.0527373322208485
-3.0,0.0604468811021856,9.852467144912246e-22,-0.1187912939973158,0.0430458066872185
-2.5,0.0569717417395568,8.706773152424055e-22,-0.0811752710746482,0.0331739233864828
-2.0,0.0535863893019032,7.405237030815496e-22,-0.0355746591666493,0.0227527469016182
-1.5,0.0503504235725568,5.856067102929198e-22,0.0262260997508276,0.0114814493008274
-1.0,0.0473577829911575,4.092358225858232e-22,0.1042908628198079,-0.0002656553047875
-0.5,0.0445243095367264,2.232497256236004e-22,0.189614400178524,-0.0118447892679018
0.0,0.0417658451882849,3.948710506959264e-23,0.2731914819652083,-0.0226121749411904
0.5,0.0389381585076991,-1.5308243840478701e-22,0.3557444890017091,-0.0333669989367228
1.0,0.0361177702917579,-3.560898065690111e-22,0.4410912179803868,-0.0442048470204237
1.5,0.0335516508718663,-5.435970674210673e-22,0.5248695628452424,-0.0534265402757499
2.0,0.0314867705794295,-6.896662889589436e-22,0.6027174175402769,-0.0593328997861588
2.5,0.0297377823224889,-8.01300470612271e-22,0.6754871235581754,-0.062876045362109
3.0,0.0280002546859699,-9.031057734401621e-22,0.7466883077319687,-0.066107795616861
3.5,0.0263425315166031,-9.955490078848253e-22,0.8159447920161751,-0.0689785198380737
4.0,0.0248329566611191,-1.07909698438847e-21,0.882880398365313,-0.0714385873134062
4.5,0.0235398739662487,-1.1542165133933057e-21,0.9471189487339008,-0.0734383673305175
5.0,0.0225316272787223,-1.221374405341541e-21,1.0082842650764576,-0.0749282291770668
5.5,0.0218765604452707,-1.2810374706753849e-21,1.0660001693475016,-0.0758585421407131
6.0,0.0216430173126245,-1.3336725198370469e-21,1.1198904835015508,-0.0761796755091154
6.5,0.0218555027472603,-1.3836048414175573e-21,1.1730032825989054,-0.0761431700685285
