alpha,Cl,Cd,Cm
-40.0,-1.2090690785,0.3556194891,0.192134142
-39.0,-1.2009715175,0.352969459,0.189364864
-38.0,-1.1913765976,0.3496876079,0.1862806267
-37.0,-1.1803008642,0.3457967534,0.1828942188
-36.0,-1.1677581647,0.3413252998,0.1792195008
-35.0,-1.1537618282,0.3363065408,0.1752718345
-34.0,-1.1383289736,0.3307782715,0.1710686723
-33.0,-1.1214873094,0.3247834637,0.1666301286
-32.0,-1.1032840919,0.3183724525,0.1619790803
-31.0,-1.0837948559,0.3116058846,0.1571401952
-30.0,-1.0631260901,0.3045554329,0.1521378189
-29.0,-1.0414050612,0.2972970726,0.1469936342
-28.0,-1.0187557202,0.2898954731,0.1417246668
-27.0,-0.995266429,0.2823905654,0.13634043
-26.0,-0.9709564684,0.2747996658,0.1308383702
-25.0,-0.9457537579,0.2671281823,0.125201638
-24.0,-0.9195077502,0.2593663164,0.1194087563
-23.0,-0.892046431,0.2514670167,0.1134581143
-22.0,-0.8632451598,0.2433416691,0.1073869527
-21.0,-0.8330747561,0.2349156237,0.1012600806
-20.0,-0.8016128983,0.2262077268,0.0951381192
-19.0,-0.7689932155,0.2116947198,0.0890568112
-18.0,-0.7353172137,0.1971817129,0.0830302813
-17.0,-0.7006136978,0.1826687059,0.0770690803
-16.0,-0.6648734757,0.1681556989,0.0712000237
-15.0,-0.628088664,0.1536426919,0.0654709755
-14.0,-0.5788401955,0.1391296849,0.059921465
-13.0,-0.5295917269,0.124616678,0.0545339416
-12.0,-0.4803432584,0.110103671,0.0492227744
-11.0,-0.4310947898,0.095590664,0.0438903432
-10.0,-0.3818463213,0.081077657,0.0385362807
-9.0,-0.3325978527,0.0725358165,0.0333768183
-8.0,-0.2833493842,0.0648931171,0.0287483056
-7.0,-0.2341009157,0.0581495588,0.0246814628
-6.0,-0.1848524471,0.0523051416,0.0181076738
-5.0,-0.1356039786,0.0473598655,-0.0005305603
-4.0,-0.08635551,0.0433137305,-0.0073777578
-3.0,-0.0371070415,0.0401667366,-0.0155590677
-2.0,0.0121414271,0.0379188839,-0.0257694199
-1.0,0.0613898956,0.0365701722,-0.035955292
0.0,0.1106383641,0.0361206017,-0.0449151284
1.0,0.3007848466,0.0365701722,-0.051318728
2.0,0.4877801573,0.0379188839,-0.0550225248
3.0,0.6695591123,0.0401667366,-0.0568468249
4.0,0.8440565275,0.0433137305,-0.057356241
5.0,1.0092072189,0.0473598655,-0.0567085487
6.0,1.1629460025,0.0523051416,-0.0552495853
7.0,1.3032076942,0.0581495588,-0.0525424725
8.0,1.4279271101,0.0648931171,-0.0497743519
9.0,1.5350390661,0.0725358165,-0.0481176515
10.0,1.6224783782,0.081077657,-0.0446574641
11.0,1.6881798624,0.0905186387,-0.0401921249
12.0,1.7300783347,0.1008587614,-0.0356151726
13.0,1.7461086109,0.1120980253,-0.0297356696
14.0,1.7342055072,0.1242364302,-0.0269259292
15.0,1.6923038394,0.1372739763,-0.0329089938
16.0,1.6183384236,0.1512106634,-0.0416051459
17.0,1.5102440758,0.1660464917,-0.0505463995
18.0,1.3659556119,0.1817814611,-0.0596012431
19.0,1.3601770611,0.193082867,-0.0677388583
20.0,1.3543985104,0.204384273,-0.0771094997
21.0,1.3486199597,0.2156856789,-0.1024197025
22.0,1.342841409,0.2269870849,-0.1332067734
23.0,1.3370628582,0.2382884908,-0.1514329507
24.0,1.3312843075,0.2495898968,-0.1622828952
25.0,1.3255057568,0.2608913027,-0.1704966325
26.0,1.319727206,0.2721927087,-0.1783471547
27.0,1.3139486553,0.2834941146,-0.1862030039
28.0,1.3081701046,0.2947955206,-0.1937961283
29.0,1.3285062754,0.3060969265,-0.2009081006
30.0,1.3462474105,0.3173983325,-0.2074991622
31.0,1.362533057,0.3286997384,-0.2136419208
32.0,1.3780417654,0.3400011444,-0.2193920803
33.0,1.3924131705,0.3513025503,-0.2247155916
34.0,1.4054311928,0.3627553213,-0.2295855692
35.0,1.4170944936,0.3727310135,-0.2340093507
36.0,1.4274337874,0.3810633856,-0.2380067419
37.0,1.4364742959,0.3878064883,-0.2415981799
38.0,1.4442288456,0.3931500274,-0.2448006971
39.0,1.4506977616,0.397325487,-0.2476267797
40.0,1.4558722805,0.4005330289,-0.2500846517
