alpha,Cd,Cs,Cl,CmPitch
-10.0,0.1234315714135491,-3.033774099896768e-22,-0.3359266089927624,0.0652339666544156
-9.5,0.1162053701470857,-2.925115129765925e-22,-0.30809012613430375,0.060972241921841856
-9.0,0.1093090300653182,-2.821962406123789e-22,-0.2816071957744715,0.05718850205159394
-8.5,0.10275835655200842,-2.7250821891467473e-22,-0.25678436948895306,0.053875826428972984
-8.0,0.09656915499091809,-2.6352407390111874e-22,-0.2339281988534362,0.051027294439280085
-7.5,0.09075723076580895,-2.5532043158934978e-22,-0.21334523544360837,0.048635985467816355
-7.0,0.08533838926044277,-2.4797391799700652e-22,-0.1953420308351571,0.04669497889988294
-6.5,0.08032843585858125,-2.4156115914172784e-22,-0.18022513660377013,0.04519735412078092
-6.0,0.0757431759439862,-2.3615878104115246e-22,-0.16830110432513493,0.04413619051581143
-5.5,0.07159841490041934,-2.3184340971291915e-22,-0.15987648557493905,0.04350456747027558
-5.0,0.0679099581116424,-2.286916711746667e-22,-0.1552578319288702,0.0432955643694745
-4.5,0.06476390786289897,-2.266583778780869e-22,-0.15320994191166698,0.04396261053054119
-4.0,0.06210021384618032,-2.25359876227284e-22,-0.15198707863602687,0.04563022593320789
-3.5,0.05971545255536976,-2.243650931685158e-22,-0.1511299905595753,0.047798125956674604
-3.0,0.05740620048435062,-2.2324295564803985e-22,-0.15017942613993782,0.04996602598014131
-2.5,0.054969034127006204,-2.215623906121138e-22,-0.14867613383473996,0.05163364138280802
-2.0,0.0522005299772198,-2.1889232500699537e-22,-0.1461608621016072,0.0523006875438747
-1.5,0.0489010234997901,-1.9685103440890762e-22,-0.11375841403859197,0.04587908774636842
-1.0,0.04525595867082686,-1.5266125407303205e-22,-0.03834246541128747,0.030432053553602456
-0.5,0.04163957475118006,-1.0929860046406367e-22,0.05692292632136957,0.01168623276520615
0.0,0.0384261110016997,-8.973869004669751e-23,0.1488737037004424,-0.0046317268191912
0.5,0.0354956626884681,-1.1523890331386128e-22,0.23907762431276228,-0.019169509516978815
1.0,0.032670281789753834,-1.713393725016216e-22,0.33810460252198726,-0.03430342989550007
1.5,0.030237142634686288,-2.2743984168938188e-22,0.43629381603442086,-0.046899785530056796
2.0,0.0284834195523948,-2.5294005495654563e-22,0.5239844425563664,-0.0538248739959508
2.5,0.027188567083012,-2.3497639241444965e-22,0.6017947828865181,-0.05669549793866705
3.0,0.025962028519990778,-1.8664741875524986e-22,0.6766702760416919,-0.05921176149931855
3.5,0.024835961322440907,-1.1629615492957854e-22,0.748440807055374,-0.06136491449664926
4.0,0.023842522949472148,-3.226562188806799e-23,0.8169362609610502,-0.06314620674940312
4.5,0.023013870860194262,5.710115941864959e-23,0.8819865227922072,-0.06454688807632407
5.0,0.022382162513717014,1.4346116803994185e-22,0.943421477582331,-0.06555820829615604
5.5,0.021979555369150174,2.1847138302517656e-22,1.0010710103649074,-0.06617141722764301
6.0,0.0218382068856035,2.737887834237215e-22,1.0547650061734235,-0.0663777646895289
