alpha,Cd,Cs,Cl,CmPitch
-1.5,0.06288170069168908,-1.1710167119960766e-21,-0.33326436027913586,0.07607144335365223
-1.0,0.05697101447834535,-1.092122721455453e-21,-0.24419500526541935,0.057342231803168095
-0.5,0.05003754988791759,-9.845103259755489e-22,-0.13310153768640978,0.035181145329001164
0.0,0.04446849891007,-8.677157345372933e-22,-0.0305475136325313,0.0169962198393114
0.5,0.0404275191138051,-7.21552828034642e-22,0.06128698198309963,0.0029319572058106903
1.0,0.03666361065943336,-5.314596837916121e-22,0.15680135176132992,-0.010658760883041024
1.5,0.03344197942358092,-3.254088054342248e-22,0.2503012708826814,-0.022055328793961652
2.0,0.0310278312828739,-1.3137269658850109e-22,0.3360924145276756,-0.0295371408936691
2.5,0.029125881267875287,5.33672906814087e-23,0.4152520089692776,-0.03431826946525486
3.0,0.027300429826081253,2.462793449008121e-22,0.4923737032106342,-0.03870907147762871
3.5,0.025606060959517722,4.41515273327875e-22,0.5670378065275394,-0.042633368326236
4.0,0.02409735867021063,6.332268832207635e-22,0.6388246281957874,-0.04601498140652208
4.5,0.022828906960185896,8.155659818376439e-22,0.7073144774911723,-0.04877773211393231
5.0,0.021855289831469463,9.826843764366815e-22,0.7720876636894882,-0.05084544184391204
5.5,0.021231091286087255,1.1287338742760427e-21,0.8327244960665292,-0.05214193199190662
6.0,0.0210108953260652,1.247866282613894e-21,0.8888052838980895,-0.0525910239533614
6.5,0.02117165052900163,1.3439974682155057e-21,0.9435185033316995,-0.052481443198430955
7.0,0.02164539209542233,1.4271704646875023e-21,0.9990325907867571,-0.05219254848088707
7.5,0.022419333961744392,1.5007278295500812e-21,1.0533977959468583,-0.05178411112160088
8.0,0.023480690064384923,1.5680121203234389e-21,1.1046643684955992,-0.051315902441443545
8.5,0.024816674339761015,1.632365894527772e-21,1.1508825581165747,-0.050847693761286214
9.0,0.026414500724289774,1.6971317096832774e-21,1.190102614493381,-0.05043925640200003
9.5,0.028261383154388302,1.7656521233101528e-21,1.2203747873096147,-0.05015036168445614
10.0,0.0303445355664737,1.8412696929285936e-21,1.2397493262488704,-0.0500407809295257
10.5,0.0341193030193567,1.9244991277715296e-21,1.2525429841251148,-0.05205691630425331
11.0,0.0407086070309884,2.0115807835502557e-21,1.2634304846556312,-0.05730660900372182
11.5,0.04960102622649645,2.0994456875025155e-21,1.2709990338789894,-0.06459178889085976
12.0,0.0602851392310085,2.185024866866055e-21,1.27383583783376,-0.0727143858285956
12.5,0.0782299249195464,2.2755510159964347e-21,1.2326444352123247,-0.08508819289325627
13.0,0.10472299936543637,2.3700252891662183e-21,1.1390196962518826,-0.10238448238438279
13.5,0.13298089699126267,2.453031403488657e-21,1.0378858243082287,-0.1192914029997249
14.0,0.1562201522196095,2.509153076077001e-21,0.9741670227371588,-0.1304971034370324
14.5,0.17401904084544187,2.5455379236503805e-21,0.9455316316667128,-0.13686588727772347
15.0,0.19022038417914106,2.576781690325055e-21,0.9215812628244315,-0.1423173965054416
15.5,0.20443753491641556,2.5986402843099667e-21,0.9051400269653621,-0.1461227874212747
