alpha,Cd,Cs,Cl,CmRoll,CmPitch,CmYaw,Cd(f),Cd(r),Cs(f),Cs(r),Cl(f),Cl(r),xcp,Ux_final,Uy_final,k_final,p_final,omega_final,Iter,yplus_max
-10.0,0.1234315714135491,-3.033774099896768e-22,-0.3359266089927624,0.3359266089927624,0.0652339666544156,0.1234315714135491,0.3976423946995369,-0.2742108232859878,0.1234315714135491,-0.1234315714135491,-0.1027293378419655,-0.2331972711507969,0.435188667237,6.072339682427894e-09,2.7588028113300832e-08,9.139009327250531e-10,7.638091896581352e-08,2.401143012288722e-11,2982,0.235806995273881
-5.0,0.0679099581116424,-2.286916711746667e-22,-0.1552578319288702,0.1552578319288702,0.0432955643694745,0.0679099581116423,0.1892128109846913,-0.1213028528730489,0.0679099581116423,-0.0679099581116423,-0.0343333515949605,-0.1209244803339096,0.519610214357,3.354660432879285e-09,2.2110100687959762e-08,3.8122227071467467e-10,7.459836306704419e-08,1.826007615973256e-11,982,0.2328003609385983
-2.0,0.0522005299772198,-2.1889232500699537e-22,-0.1461608621016072,0.1461608621016072,0.0523006875438747,0.0522005299772198,0.1722611270902171,-0.1200605971129973,0.0522005299772198,-0.0522005299772198,-0.0207797435069288,-0.1253811185946784,0.603637267451,2.8718079585301772e-09,4.429305539992868e-08,3.6672101217846255e-10,7.538384214389458e-08,1.632199614872767e-11,704,0.2341347989655658
0.0,0.0384261110016997,-8.973869004669751e-23,0.1488737037004424,-0.1488737037004423,-0.0046317268191912,0.0384261110016997,-0.1296606481995924,0.1680867592012922,0.0384261110016997,-0.0384261110016997,0.0698051250310299,0.0790685786694125,0.281111786058,2.287641566447758e-09,5.391030181309494e-08,2.7833357576477124e-10,7.859637299991973e-08,1.659762937799121e-11,690,0.2222340414570965
2.0,0.0284834195523948,-2.5294005495654563e-22,0.5239844425563664,-0.5239844425563664,-0.0538248739959508,0.0284834195523948,-0.5097427327801689,0.5382261523325639,0.0284834195523948,-0.0284834195523948,0.2081673472822324,0.315817095274134,0.352590145166,1.794389971203023e-09,9.635670607502876e-08,9.378241886443035e-10,9.036202514894265e-08,2.078726290110132e-11,5001,0.2257909383700159
6.0,0.0218382068856035,2.737887834237215e-22,1.0547650061734235,-1.0547650061734235,-0.0663777646895289,0.0218382068856035,-1.0438459027306215,1.0656841096162253,0.0218382068856035,-0.0218382068856035,0.4610047383971828,0.5937602677762407,0.31314057234,1.070488809545567e-09,1.9181640486976926e-07,4.863761534019744e-10,3.9609105035166324e-08,1.2664942140208779e-11,5001,0.342744624060788
10.0,0.0291964066178762,5.264630725097554e-22,1.39313313198316,-1.39313313198316,-0.056326442070797,0.0291964066178762,-1.3785349286742217,1.4077313352920982,0.0291964066178762,-0.0291964066178762,0.6402401239207829,0.7528930080623769,0.290904051589,1.8490563311730319e-09,4.1718864587729534e-08,6.77077867872325e-10,1.579131158075863e-08,6.761879623785488e-12,508,0.4446599659367701
12.0,0.0494876791442494,5.740306057263521e-22,1.4858875048497686,-1.4858875048497686,-0.068932445242251,0.0494876791442494,-1.461143665277644,1.5106313444218933,0.0494876791442494,-0.0494876791442494,0.6740113071826332,0.8118761976671354,0.297094449335,2.77260360531632e-09,3.3184068541123514e-08,4.5454796829960225e-10,1.2802378791295828e-08,5.068780828848196e-12,465,0.4799685856661124
14.0,0.1244691909338605,5.089186429475355e-22,1.1768248037824254,-1.1768248037824252,-0.1107075349354289,0.1244691909338606,-1.1145902083154948,1.2390593992493557,0.1244691909338606,-0.1244691909338606,0.4777048669557837,0.6991199368266416,0.344461974055,5.777465129691689e-09,3.0616532039951135e-08,7.953919956118395e-10,7.83343643500075e-08,8.318844335393834e-12,761,0.4048085304077545
16.0,0.1947877693132464,5.030233678948174e-22,1.0391341881127485,-1.039134188112748,-0.1409440264056667,0.1947877693132464,-0.9417403034561248,1.1365280727693712,0.1947877693132464,-0.1947877693132464,0.3786230676507073,0.6605111204620409,0.383904572299,5.421339884338902e-09,2.8654915152517653e-08,2.7400695528318187e-10,7.550146626757955e-08,8.913932123193159e-12,918,0.3550349035804001
