alpha,Cd,Cs,Cl,CmPitch
-10.0,0.1130805978335641,-6.487203008152812e-22,-0.2539629024495576,0.0578101742159575
-9.5,0.11068018471092775,-7.492038958907563e-22,-0.271843172856166,0.06591341786504126
-9.0,0.10800767416252526,-8.296649295858784e-22,-0.28616058495297053,0.07240199303792386
-8.5,0.10508347478269478,-8.923281309429089e-22,-0.2973110118855049,0.07745530734307203
-8.0,0.10192799516577444,-9.394182290041094e-22,-0.30569032679930297,0.08125276838895261
-7.5,0.09856164390610238,-9.731599528117412e-22,-0.31169440283989835,0.0839737837840324
-7.0,0.0950048295980167,-9.957780314080656e-22,-0.31571911315282497,0.0857977611367782
-6.5,0.09127796083585557,-1.0094971938353445e-21,-0.31816033088361656,0.08690410805565678
-6.0,0.08740144621395708,-1.0165421691358392e-21,-0.3194139291778068,0.08747223214913498
-5.5,0.08339569432665939,-1.019137686351811e-21,-0.3198757811809295,0.08768154102567959
-5.0,0.0792811137683006,-1.0195084745255212e-21,-0.3199417600385185,0.0877114422937574
-4.5,0.07432355746908505,-9.883115263829659e-22,-0.3037392851146056,0.08529229364643422
-4.0,0.0682764206649561,-9.049776902290699e-22,-0.2607608931452114,0.07876288896650077
-3.5,0.06189142540886035,-7.848924784744874e-22,-0.19945013333385292,0.06921529014701112
-3.0,0.05592029375374452,-6.43441403529873e-22,-0.12825055488404713,0.05774155908101942
-2.5,0.05111474775255524,-4.960099778058811e-22,-0.055605706999310944,0.04543375766157974
-2.0,0.0482265094582392,-3.5798371371316643e-22,0.0100408611168386,0.0333839477817462
-1.5,0.04693175424544905,-2.0652291781113048e-22,0.07057931983626896,0.018739102305039158
-1.0,0.046101100235593065,-3.2457261860086077e-23,0.13338687188722975,0.000806990316672803
-0.5,0.0452779336017513,1.2832369392794618e-22,0.19825051660077736,-0.016079131957758
0.0,0.0440056405170038,2.3993038934094543e-22,0.2649572533079684,-0.0275860082926584
0.5,0.04094698491387268,3.01821575073578e-22,0.33427729045259275,-0.033967280097514756
1.0,0.036241085759471846,3.4661999114892957e-22,0.40621166149438537,-0.038850696530193754
1.5,0.03164586177876906,3.881820613476085e-22,0.47939360328832026,-0.042964162987671
2.0,0.0289192316967321,4.403642094502228e-22,0.5524563526893713,-0.0470355848669221
2.5,0.027771479562266912,5.147498064639335e-22,0.6274972160673782,-0.05160974922538335
3.0,0.026747048852764313,6.085666053325525e-22,0.7061612843106606,-0.056546374926330835
3.5,0.025855097435919322,7.14137602741665e-22,0.7864034710519127,-0.06154576507549985
4.0,0.025104783179426982,8.237857953768568e-22,0.8661786899238287,-0.06630822277862569
4.5,0.02450526395098233,9.29834179923713e-22,0.9434418545591029,-0.07053405114144361
5.0,0.02406569761828039,1.0246057530678192e-21,1.0161478785904297,-0.07392355326968889
5.5,0.023795242049016202,1.1004235114947612e-21,1.0822516756505025,-0.07617703226909688
6.0,0.0237030551108848,1.1496104518901238e-21,1.139708159372016,-0.0769947912454028
6.5,0.0238666704697505,1.1808664659138942e-21,1.1938921151335946,-0.07660645601969013
7.0,0.02435129076664844,1.2082700975420015e-21,1.2497195301745294,-0.07558266315190215
7.5,0.025147577332029884,1.2322123219339463e-21,1.304457120918516,-0.07413523185606401
8.0,0.026246191496346095,1.2530841142492283e-21,1.3553716037892496,-0.07247598134620076
8.5,0.027637794590048326,1.2712764496473475e-21,1.3997296952104246,-0.0708167308363375
9.0,0.029313047943587852,1.2871803032878037e-21,1.4347981116057371,-0.06936929954049935
9.5,0.03126261288741592,1.3011866503300976e-21,1.4578435693988814,-0.06834550667271137
10.0,0.0334771507519838,1.3136864659337286e-21,1.4661327850135526,-0.0679571714469987
10.5,0.03790798339348841,1.3259203593680718e-21,1.462789572735603,-0.07046048732367252
11.0,0.04589460307416723,1.3373949875049206e-21,1.4533846163094069,-0.0767837570652558
11.5,0.056509926733532376,1.345900396907403e-21,1.4388549363464433,-0.08514696383909116
12.0,0.068826871311096,1.3492266341386465e-21,1.4201375534581917,-0.0937700908125213
