alpha,Cl,Cd,Cm
-40.0,-1.2204147624,0.3578967523,0.1935263991
-39.0,-1.2123741193,0.3552300785,0.1907889972
-38.0,-1.2028134866,0.3519353462,0.1877331322
-37.0,-1.1917585733,0.3480345917,0.1843708331
-36.0,-1.1792341909,0.3435548697,0.1807150584
-35.0,-1.1652656532,0.338528263,0.176780148
-34.0,-1.1498822481,0.3329925539,0.1725824835
-33.0,-1.1331228363,0.3269927734,0.1681411364
-32.0,-1.1150421031,0.32058304,0.1634780253
-31.0,-1.095714047,0.3138269627,0.1586170947
-30.0,-1.0752293476,0.3067942599,0.1535825377
-29.0,-1.0536864617,0.2995518549,0.1483965434
-28.0,-1.0311755874,0.2921516499,0.143076283
-27.0,-1.0077479986,0.2846257494,0.1376288411
-26.0,-0.9833751554,0.2769961104,0.1320452441
-25.0,-0.9579400042,0.269277517,0.1263007943
-24.0,-0.9313007157,0.2614527174,0.1203705785
-23.0,-0.9033814958,0.2534491339,0.1142570682
-22.0,-0.8742004923,0.2451592325,0.108006038
-21.0,-0.8438393856,0.2365075539,0.1016903241
-20.0,-0.8124193946,0.2275176752,0.0953770202
-19.0,-0.7800687222,0.2130898328,0.0891082483
-18.0,-0.7468603969,0.1986619904,0.0829040079
-17.0,-0.712780097,0.184234148,0.0767773648
-16.0,-0.6777586711,0.1698063056,0.0707503857
-15.0,-0.6417163516,0.1553784632,0.0648581447
-14.0,-0.5920926734,0.1409506208,0.0591272609
-13.0,-0.5424689952,0.1265227784,0.0535371772
-12.0,-0.492845317,0.112094936,0.04800581
-11.0,-0.4432216388,0.0976670936,0.0424379612
-10.0,-0.3935979606,0.0832392512,0.0368395796
-9.0,-0.3439742823,0.0741990885,0.0314338157
-8.0,-0.2943506041,0.0661105219,0.0265260769
-7.0,-0.2447269259,0.0589735513,0.0221394157
-6.0,-0.1951032477,0.0527881768,0.0169094068
-5.0,-0.1454795695,0.0475543984,0.0058381384
-4.0,-0.0958558913,0.0432722161,-0.0040623633
-3.0,-0.0462322131,0.0399416298,-0.015990627
-2.0,0.0033914652,0.0375626397,-0.0255335056
-1.0,0.0530151434,0.0361352456,-0.0354071083
0.0,0.1026388216,0.0356594475,-0.0437553586
1.0,0.2960596182,0.0361352456,-0.0497333072
2.0,0.4861939492,0.0375626397,-0.0532018728
3.0,0.6708382405,0.0399416298,-0.0548798525
4.0,0.8477889176,0.0432722161,-0.0551968178
5.0,1.0148424063,0.0475543984,-0.0542456908
6.0,1.1697951324,0.0527881768,-0.0523181799
7.0,1.3104435216,0.0589735513,-0.0494452184
8.0,1.4345839996,0.0661105219,-0.0464240489
9.0,1.5400129922,0.0741990885,-0.0442508533
10.0,1.624526925,0.0832392512,-0.0412387032
11.0,1.6859222239,0.09323101,-0.0375561345
12.0,1.7219953146,0.1041743648,-0.0341684672
13.0,1.7305426228,0.1160693157,-0.0289196281
14.0,1.7093605741,0.1289158627,-0.0243265367
15.0,1.6562455945,0.1427140058,-0.0274951454
16.0,1.5689941095,0.1574637449,-0.0348705855
17.0,1.445402545,0.1731650801,-0.0430965171
18.0,1.2832673266,0.1898180114,-0.0611515675
19.0,1.2836650556,0.200533077,-0.0894562292
20.0,1.2840627847,0.2112481426,-0.1042276247
21.0,1.2844605137,0.2219632082,-0.1228688414
22.0,1.2848582427,0.2326782737,-0.1422883069
23.0,1.2852559718,0.2433933393,-0.1546531234
24.0,1.2856537008,0.2541084049,-0.1631228605
25.0,1.2860514299,0.2648234705,-0.1702357224
26.0,1.2864491589,0.275538536,-0.1771928011
27.0,1.286846888,0.2862536016,-0.1842101598
28.0,1.287244617,0.2969686672,-0.1911581286
29.0,1.3069330956,0.3076837328,-0.1979069472
30.0,1.3251804681,0.3183987983,-0.2043901139
31.0,1.3422721101,0.3291138639,-0.210582588
32.0,1.3584003636,0.3398289295,-0.2164609632
33.0,1.3736080585,0.3505439951,-0.2219887663
34.0,1.3877516784,0.3618909034,-0.2271182416
35.0,1.4005478175,0.3725986704,-0.2318062694
36.0,1.4118913923,0.3820761287,-0.2360424745
37.0,1.4217668564,0.3901526756,-0.2398367901
38.0,1.4301817722,0.3968448417,-0.2432046006
39.0,1.437145514,0.4022378167,-0.2461603152
40.0,1.4426643283,0.4064398337,-0.2487156361
