,prof_num,LE_x,LE_y,LE_z,TE_x,TE_y,TE_z
0,19,0.10494809354160103,-4.110425010287237,1.0206948819027293,0.9322352740642089,-4.136759541813347,1.0267698564834051
1,18,-0.12594856150986303,-4.095312460948618,1.131752674216157,0.9480319715306028,-4.119176793915081,1.1375068826415087
2,17,-0.415204088177974,-4.058392218797549,1.3527398161728057,0.9806642670037444,-4.0661917809302714,1.354784652851428
3,16,-0.5839406178913704,-4.017404143963288,1.573136130673558,1.0133061573517872,-4.0126965083918655,1.5718020624211284
4,15,-0.6731255454312801,-3.9710648600916856,1.792296994306359,1.0459407519807051,-3.959304771307195,1.788711553698102
5,14,-0.7630010692513897,-3.808661454565653,2.2116503076074623,1.1148900094481449,-3.8099544198423287,2.212462687618386
6,13,-0.8034346573868656,-3.671721332477886,2.3902080961084446,1.1590484514963157,-3.676560321852442,2.394355401152323
7,12,-0.8426236438512831,-3.5037765531662273,2.5431468790470166,1.2069146554234733,-3.5081098865401383,2.54813951074277
8,11,-0.9107041725649544,-3.136094612354681,2.798744478912709,1.3282999037052468,-3.1343435230977734,2.7965040693723457
9,10,-0.9734084029764644,-2.799119438334862,3.0942397365885954,1.341651389866222,-2.7979060165852596,3.0924012745521683
10,9,-1.0012604181004636,-2.60606743950073,3.2109156756433377,1.3470535121521396,-2.607652208222479,3.2140730423076005
11,8,-1.0255704673876633,-2.3933957820040352,3.2892227589446676,1.3704766336634273,-2.3946575320852,3.292717092764685
12,7,-1.066808167099677,-1.9597511829533572,3.398710571788576,1.4286937460004634,-1.9587427796536303,3.395858306351975
13,6,-1.102721455861017,-1.5539231291222366,3.587899390284646,1.4218476587327253,-1.5529087742581646,3.5847357425519175
14,5,-1.1174483964012778,-1.3372547196154843,3.6531307248857057,1.4206278262933396,-1.337221665561774,3.652962868560538
15,4,-1.1290037004055944,-1.111273134975715,3.672140965756021,1.4350857915331694,-1.1111744842343718,3.670881486234418
16,3,-1.1448828836323988,-0.6642030404518473,3.658203792543517,1.4733964618305042,-0.6638228115665804,3.653361447444984
17,2,-1.1544229650457856,-0.22477286325409476,3.739264150331224,1.4484005139953104,-0.2247570459738744,3.7390964622164637
18,1,-1.1557911914860979,-1.7071843617459463e-11,3.7549161879983592,1.443146003226444,8.28776104036884e-10,3.754972573823276
