LE_x,LE_y,LE_z,TE_x,TE_y,TE_z,d_tube,camber
0.52218,4.1459378000000005,0.921215,0.86682,4.152601,0.932607,0.3225132246121334,0.0405837
0.263184,4.128047333333334,0.971623,0.874727,4.141856,0.979216,0.1837401335882308,0.043495
0.028112,4.110713133333333,1.049881,0.887481,4.124523,1.054402,0.131075032683328,0.0464063
-0.183243,4.09143955,1.154511,0.904737,4.101072,1.156125,0.1036781577453383,0.0493176
-0.368472,4.071198533333334,1.28343,0.926149,4.071974,1.282342,0.0872295732744705,0.0522289
-0.522929,4.044764516666667,1.43433,0.951369,4.0377,1.431014,0.0766805595131155,0.0551402
-0.639766,4.0122215,1.604842,0.980052,3.998721,1.600098,0.0698647554531404,0.0580515
-0.709238,3.97555605,1.791356,1.011852,3.955506,1.787553,0.0880585272944216,0.0580515
-0.79088,3.8134530499999997,2.209568,1.189372,3.789238,2.199439,0.0818347949026424,0.0656764
-0.864219,3.50976455,2.540205,1.256822,3.485499,2.522089,0.0805359612271219,0.0720449
-0.929298,3.1432477,2.796493,1.310901,3.116753,2.773988,0.0795641444833332,0.0774354
-0.986158,2.8075264499999997,3.092998,1.354755,2.780285,3.065722,0.0788201065048211,0.0819918
-1.034831,2.4026866,3.288677,1.390237,2.380855,3.254511,0.0782455219828932,0.0857993
-1.075348,1.969432,3.398648,1.41853,1.946587,3.361473,0.0778048283060423,0.0889127
-1.107733,1.5636341,3.587398,1.440421,1.540958,3.547442,0.0774738261221235,0.0913686
-1.132004,1.1212366,3.671702,1.456442,1.107796,3.627957,0.0772367956750012,0.0931918
-1.148177,0.6743327499999999,3.658834,1.466944,0.660721,3.613797,0.0770843584417728,0.0943989
-1.156262,0.23513389999999998,3.741837,1.472144,0.220752,3.696209,0.0769999920939645,0.095
-1.156262,-0.23513389999999998,3.741837,1.472144,-0.220752,3.696209,0.0769999920939645,0.095
-1.148177,-0.6743327499999999,3.658834,1.466944,-0.660721,3.613797,0.0770843584417728,0.0943989
-1.132004,-1.1212366,3.671702,1.456442,-1.107796,3.627957,0.0772367956750012,0.0931918
-1.107733,-1.5636341,3.587398,1.440421,-1.540958,3.547442,0.0774738261221235,0.0913686
-1.075348,-1.969432,3.398648,1.41853,-1.946587,3.361473,0.0778048283060423,0.0889127
-1.034831,-2.4026866,3.288677,1.390237,-2.380855,3.254511,0.0782455219828932,0.0857993
-0.986158,-2.8075264499999997,3.092998,1.354755,-2.780285,3.065722,0.0788201065048211,0.0819918
-0.929298,-3.1432477,2.796493,1.310901,-3.116753,2.773988,0.0795641444833332,0.0774354
-0.864219,-3.50976455,2.540205,1.256822,-3.485499,2.522089,0.0805359612271219,0.0720449
-0.79088,-3.8134530499999997,2.209568,1.189372,-3.789238,2.199439,0.0818347949026424,0.0656764
-0.709238,-3.97555605,1.791356,1.011852,-3.955506,1.787553,0.0880585272944216,0.0580515
-0.639766,-4.0122215,1.604842,0.980052,-3.998721,1.600098,0.0698647554531404,0.0580515
-0.522929,-4.044764516666667,1.43433,0.951369,-4.0377,1.431014,0.0766805595131155,0.0551402
-0.368472,-4.071198533333334,1.28343,0.926149,-4.071974,1.282342,0.0872295732744705,0.0522289
-0.183243,-4.09143955,1.154511,0.904737,-4.101072,1.156125,0.1036781577453383,0.0493176
0.028112,-4.110713133333333,1.049881,0.887481,-4.124523,1.054402,0.131075032683328,0.0464063
0.263184,-4.128047333333334,0.971623,0.874727,-4.141856,0.979216,0.1837401335882308,0.043495
0.52218,-4.1459378000000005,0.921215,0.86682,-4.152601,0.932607,0.3225132246121334,0.0405837
