       x [m]	       y [m]	     x/c [-]	     y/c [-]
  0.39834732	 -0.00671747	  0.99999970	 -0.01686335
  0.39595782	 -0.00572846	  0.99400115	 -0.01438057
  0.39313962	 -0.00532210	  0.98692643	 -0.01336045
  0.39032141	 -0.00491578	  0.97985169	 -0.01234043
  0.38750319	 -0.00450958	  0.97277690	 -0.01132072
  0.38468497	 -0.00410338	  0.96570211	 -0.01030102
  0.38186675	 -0.00369714	  0.95862734	 -0.00928119
  0.37904853	 -0.00329089	  0.95155258	 -0.00826136
  0.37623033	 -0.00288457	  0.94447784	 -0.00724134
  0.37341213	 -0.00247819	  0.93740311	 -0.00622118
  0.37059394	 -0.00207179	  0.93032840	 -0.00520095
  0.36777576	 -0.00166530	  0.92325372	 -0.00418053
  0.36495757	 -0.00125882	  0.91617904	 -0.00316011
  0.36213939	 -0.00085232	  0.90910436	 -0.00213965
  0.35932121	 -0.00044583	  0.90202968	 -0.00111919
  0.35650303	 -0.00003938	  0.89495499	 -0.00009886
  0.35368483	  0.00036703	  0.88788027	  0.00092138
  0.35086664	  0.00077339	  0.88080555	  0.00194150
  0.34804842	  0.00117962	  0.87373077	  0.00296128
  0.34523020	  0.00158584	  0.86665600	  0.00398106
  0.34241195	  0.00199189	  0.85958115	  0.00500037
  0.33959370	  0.00239790	  0.85250630	  0.00601963
  0.33677544	  0.00280385	  0.84543142	  0.00703870
  0.33395717	  0.00320972	  0.83835652	  0.00805759
  0.33113890	  0.00361559	  0.83128161	  0.00907647
  0.32832063	  0.00402144	  0.82420670	  0.01009531
  0.32550236	  0.00442729	  0.81713179	  0.01111414
  0.32268410	  0.00483325	  0.81005692	  0.01213324
  0.31986585	  0.00523923	  0.80298205	  0.01315241
  0.31704761	  0.00564533	  0.79590723	  0.01417188
  0.31422940	  0.00605159	  0.78883247	  0.01519174
  0.31141119	  0.00645788	  0.78175772	  0.01621168
  0.30859303	  0.00686454	  0.77468310	  0.01723253
  0.30577487	  0.00727119	  0.76760847	  0.01825339
  0.30295676	  0.00767815	  0.76053397	  0.01927502
  0.30013866	  0.00808525	  0.75345950	  0.02029697
  0.29732059	  0.00849247	  0.74638509	  0.02131925
  0.29450255	  0.00889994	  0.73931076	  0.02234216
  0.29168451	  0.00930741	  0.73223644	  0.02336507
  0.28886650	  0.00971508	  0.72516219	  0.02438846
  0.28604849	  0.01012275	  0.71808793	  0.02541187
  0.28323047	  0.01053037	  0.71101366	  0.02643514
  0.28041245	  0.01093796	  0.70393938	  0.02745834
  0.27759441	  0.01134543	  0.69686506	  0.02848125
  0.27477633	  0.01175261	  0.68979063	  0.02950343
  0.27195825	  0.01215980	  0.68271620	  0.03052561
  0.26914007	  0.01256629	  0.67564152	  0.03154606
  0.26632189	  0.01297276	  0.66856683	  0.03256645
  0.26350361	  0.01337862	  0.66149192	  0.03358529
  0.26068529	  0.01378414	  0.65441689	  0.03460330
  0.25786692	  0.01418930	  0.64734173	  0.03562041
  0.25504845	  0.01459376	  0.64026632	  0.03663575
  0.25222997	  0.01499820	  0.63319090	  0.03765105
  0.24941136	  0.01540168	  0.62611513	  0.03866393
  0.24659275	  0.01580516	  0.61903936	  0.03967681
  0.24377407	  0.01620818	  0.61196343	  0.04068855
  0.24095536	  0.01661099	  0.60488743	  0.04169976
  0.23813664	  0.01701377	  0.59781141	  0.04271088
  0.23531792	  0.01741647	  0.59073536	  0.04372180
  0.23249919	  0.01781916	  0.58365931	  0.04473272
  0.22968056	  0.01822249	  0.57658349	  0.04574523
  0.22686193	  0.01862584	  0.56950768	  0.04675778
  0.22404342	  0.01903009	  0.56243219	  0.04777260
  0.22122500	  0.01943490	  0.55535690	  0.04878881
  0.21840667	  0.01984033	  0.54828184	  0.04980659
  0.21558855	  0.02024729	  0.54120733	  0.05082821
  0.21277044	  0.02065425	  0.53413282	  0.05184983
  0.20995270	  0.02106380	  0.52705925	  0.05287797
  0.20713497	  0.02147339	  0.51998569	  0.05390618
  0.20431753	  0.02188495	  0.51291286	  0.05493934
  0.20150020	  0.02229732	  0.50584033	  0.05597455
  0.19868303	  0.02271078	  0.49876819	  0.05701250
  0.19586608	  0.02312568	  0.49169659	  0.05805404
  0.19304916	  0.02354082	  0.48462507	  0.05909619
  0.19023245	  0.02395739	  0.47755409	  0.06014194
  0.18741574	  0.02437396	  0.47048311	  0.06118770
  0.18459906	  0.02479073	  0.46341220	  0.06223394
  0.18178239	  0.02520754	  0.45634130	  0.06328028
  0.17896559	  0.02562351	  0.44927009	  0.06432452
  0.17614866	  0.02603855	  0.44219854	  0.06536643
  0.17333165	  0.02645311	  0.43512682	  0.06640714
  0.17051411	  0.02686398	  0.42805373	  0.06743855
  0.16769656	  0.02727484	  0.42098064	  0.06846997
  0.16487827	  0.02768058	  0.41390569	  0.06948853
  0.16205977	  0.02808481	  0.40683020	  0.07050331
  0.15924067	  0.02848487	  0.39975322	  0.07150761
  0.15642089	  0.02888012	  0.39267452	  0.07249982
  0.15360082	  0.02927322	  0.38559508	  0.07348666
  0.15077949	  0.02965731	  0.37851252	  0.07445085
  0.14795817	  0.03004139	  0.37142995	  0.07541504
  0.14513520	  0.03041316	  0.36434325	  0.07634832
  0.14231214	  0.03078422	  0.35725631	  0.07727981
  0.13948775	  0.03114497	  0.35016604	  0.07818544
  0.13666281	  0.03150150	  0.34307440	  0.07908047
  0.13383697	  0.03185070	  0.33598049	  0.07995709
  0.13101009	  0.03219149	  0.32888398	  0.08081260
  0.12818282	  0.03252894	  0.32178648	  0.08165971
  0.12535396	  0.03285286	  0.31468499	  0.08247288
  0.12252510	  0.03317679	  0.30758350	  0.08328605
  0.11969443	  0.03348443	  0.30047746	  0.08405835
  0.11686355	  0.03379019	  0.29337090	  0.08482594
  0.11403151	  0.03408485	  0.28626142	  0.08556563
  0.11119855	  0.03437075	  0.27914965	  0.08628336
  0.10836516	  0.03465218	  0.27203679	  0.08698984
  0.10553004	  0.03491578	  0.26491960	  0.08765157
  0.10269492	  0.03517938	  0.25780240	  0.08831330
  0.09985789	  0.03542129	  0.25068039	  0.08892059
  0.09702048	  0.03565900	  0.24355745	  0.08951734
  0.09418193	  0.03588197	  0.23643161	  0.09007707
  0.09134208	  0.03608846	  0.22930253	  0.09059543
  0.08850195	  0.03629074	  0.22217276	  0.09110323
  0.08565953	  0.03645818	  0.21503724	  0.09152357
  0.08281712	  0.03662562	  0.20790171	  0.09194392
  0.07997283	  0.03675588	  0.20076151	  0.09227091
  0.07712792	  0.03687346	  0.19361971	  0.09256608
  0.07428253	  0.03697781	  0.18647675	  0.09282803
  0.07143589	  0.03704060	  0.17933062	  0.09298567
  0.06858873	  0.03707168	  0.17218319	  0.09306368
  0.06574141	  0.03706728	  0.16503536	  0.09305264
  0.06289443	  0.03702323	  0.15788838	  0.09294207
  0.06004849	  0.03693494	  0.15074401	  0.09272042
  0.05720451	  0.03679738	  0.14360456	  0.09237508
  0.05436371	  0.03660506	  0.13647311	  0.09189229
  0.05152769	  0.03635204	  0.12935364	  0.09125712
  0.04869843	  0.03603230	  0.12225114	  0.09045446
  0.04587840	  0.03563946	  0.11517183	  0.08946827
  0.04307065	  0.03516690	  0.10812333	  0.08828197
  0.04027875	  0.03460838	  0.10111461	  0.08687988
  0.03750686	  0.03395780	  0.09415615	  0.08524670
  0.03475969	  0.03320978	  0.08725973	  0.08336889
  0.03204239	  0.03235968	  0.08043830	  0.08123482
  0.02936052	  0.03140372	  0.07370581	  0.07883499
  0.02671994	  0.03033904	  0.06707698	  0.07616225
  0.02412686	  0.02916344	  0.06056738	  0.07321106
  0.02158788	  0.02787518	  0.05419359	  0.06997706
  0.01911015	  0.02647275	  0.04797359	  0.06645644
  0.01670168	  0.02495452	  0.04192742	  0.06264511
  0.01437168	  0.02331845	  0.03607826	  0.05853796
  0.01213123	  0.02156182	  0.03045389	  0.05412818
  0.00999401	  0.01968105	  0.02508868	  0.04940673
  0.00797725	  0.01767177	  0.02002587	  0.04436269
  0.00610343	  0.01552874	  0.01532187	  0.03898291
  0.00440192	  0.01324673	  0.01105046	  0.03325421
  0.00291140	  0.01082197	  0.00730870	  0.02716717
  0.00168255	  0.00825514	  0.00422382	  0.02072346
  0.00077794	  0.00555754	  0.00195292	  0.01395149
  0.00020269	  0.00277034	  0.00050883	  0.00695459
  0.00000032	 -0.00006711	  0.00000081	 -0.00016847
  0.00024500	 -0.00290076	  0.00061504	 -0.00728198
  0.00096125	 -0.00565279	  0.00241309	 -0.01419059
  0.00216428	 -0.00822882	  0.00543314	 -0.02065738
  0.00384073	 -0.01052465	  0.00964165	 -0.02642078
  0.00593040	 -0.01245222	  0.01488751	 -0.03125970
  0.00834583	 -0.01395210	  0.02095113	 -0.03502494
  0.01099580	 -0.01498276	  0.02760355	 -0.03761229
  0.01378935	 -0.01551272	  0.03461638	 -0.03894269
  0.01663269	 -0.01552463	  0.04175422	 -0.03897258
  0.01943071	 -0.01501880	  0.04877830	 -0.03770276
  0.02209195	 -0.01401705	  0.05545901	 -0.03518800
  0.02453906	 -0.01256806	  0.06160215	 -0.03155051
  0.02670775	 -0.01072839	  0.06704637	 -0.02693225
  0.02849303	 -0.00851710	  0.07152810	 -0.02138108
  0.02971722	 -0.00595400	  0.07460126	 -0.01494675
  0.03050168	 -0.00321740	  0.07657053	 -0.00807686
  0.03136147	 -0.00050338	  0.07872893	 -0.00126368
  0.03237893	  0.00215552	  0.08128313	  0.00541115
  0.03355433	  0.00474845	  0.08423382	  0.01192038
  0.03488652	  0.00726441	  0.08757812	  0.01823637
  0.03637293	  0.00969243	  0.09130957	  0.02433161
  0.03801169	  0.01202034	  0.09542346	  0.03017552
  0.03978945	  0.01424377	  0.09988628	  0.03575716
  0.04170568	  0.01634919	  0.10469674	  0.04104254
  0.04374884	  0.01833169	  0.10982583	  0.04601936
  0.04590861	  0.02018651	  0.11524765	  0.05067564
  0.04817408	  0.02191067	  0.12093483	  0.05500393
  0.05053394	  0.02350325	  0.12685897	  0.05900189
  0.05297713	  0.02496487	  0.13299226	  0.06267108
  0.05549289	  0.02629776	  0.13930776	  0.06601713
  0.05807122	  0.02750525	  0.14578033	  0.06904838
  0.06070299	  0.02859143	  0.15238704	  0.07177509
  0.06337972	  0.02956159	  0.15910664	  0.07421056
  0.06609411	  0.03042089	  0.16592076	  0.07636772
  0.06883966	  0.03117477	  0.17281312	  0.07826026
  0.07161072	  0.03182882	  0.17976951	  0.07990216
  0.07440240	  0.03238848	  0.18677764	  0.08130711
  0.07721046	  0.03285911	  0.19382693	  0.08248857
  0.08003133	  0.03324577	  0.20090836	  0.08345922
  0.08286192	  0.03355340	  0.20801420	  0.08423149
  0.08569963	  0.03378653	  0.21513790	  0.08481674
  0.08854224	  0.03394947	  0.22227391	  0.08522578
  0.09138788	  0.03404633	  0.22941752	  0.08546892
  0.09423496	  0.03408095	  0.23656475	  0.08555585
  0.09708216	  0.03405659	  0.24371226	  0.08549470
  0.09992833	  0.03397637	  0.25085721	  0.08529330
  0.10277258	  0.03384437	  0.25799733	  0.08496195
  0.10561411	  0.03366311	  0.26513064	  0.08450690
  0.10845205	  0.03343226	  0.27225491	  0.08392738
  0.11128602	  0.03315681	  0.27936922	  0.08323590
  0.11411689	  0.03285109	  0.28647578	  0.08246842
  0.11694579	  0.03252752	  0.29357736	  0.08165616
  0.11977343	  0.03219311	  0.30067579	  0.08081666
  0.12259976	  0.03184781	  0.30777092	  0.07994983
  0.12542534	  0.03149641	  0.31486417	  0.07906769
  0.12824970	  0.03113538	  0.32195436	  0.07816138
  0.13107349	  0.03076995	  0.32904314	  0.07724400
  0.13389618	  0.03039606	  0.33612914	  0.07630539
  0.13671830	  0.03001790	  0.34321371	  0.07535609
  0.13953990	  0.02963582	  0.35029695	  0.07439692
  0.14236069	  0.02924792	  0.35737821	  0.07342315
  0.14518120	  0.02885787	  0.36445871	  0.07244397
  0.14800118	  0.02846407	  0.37153792	  0.07145539
  0.15082075	  0.02806738	  0.37861610	  0.07045955
  0.15364009	  0.02766899	  0.38569368	  0.06945943
  0.15645900	  0.02726756	  0.39277019	  0.06845171
  0.15927768	  0.02686460	  0.39984614	  0.06744012
  0.16209619	  0.02646038	  0.40692164	  0.06642538
  0.16491438	  0.02605392	  0.41399633	  0.06540501
  0.16773244	  0.02564662	  0.42107072	  0.06438255
  0.17055037	  0.02523836	  0.42814475	  0.06335765
  0.17336811	  0.02482884	  0.43521833	  0.06232960
  0.17618578	  0.02441885	  0.44229174	  0.06130039
  0.17900336	  0.02400823	  0.44936492	  0.06026956
  0.18182088	  0.02359712	  0.45643792	  0.05923754
  0.18463836	  0.02318582	  0.46351084	  0.05820503
  0.18745580	  0.02277427	  0.47058368	  0.05717187
  0.19027325	  0.02236271	  0.47765651	  0.05613870
  0.19309069	  0.02195114	  0.48472934	  0.05510551
  0.19590817	  0.02153979	  0.49180225	  0.05407288
  0.19872567	  0.02112861	  0.49887522	  0.05304065
  0.20154322	  0.02071775	  0.50594831	  0.05200924
